Name,Tickers,P/E Forward,P/B,ROA,ROE,Projected EPS Growth (%),Yield (%),Market Cap($ mil),Weight (%)
AAMA Equity,AMFEX,16.21,2.81,9.91,28.25,9.79,0.87,"114,361.73",0.17
AB Equity Income A,AUIAX,13.37,1.97,8.47,28.1,8.01,2.91,"95,224.17",0.35
AIG Focused Dividend,FDSAX,10.79,2.23,5.9,23.64,7.17,3.95,"50,471.18",0.2
Akre Focus Instl,AKRIX,29.46,6.75,10.37,40.51,12.77,0,"62,286.32",0.69
Amana Growth Investo,AMAGX,23.53,7.27,14.04,40.37,10.65,0.37,"83,714.94",0.65
American Beacon Brid,BRLVX,12.79,1.86,5.64,16.84,8.09,2.47,"36,213.84",0.31
American Beacon The ,ABCIX,15.49,2.8,10.12,29.75,8.94,2.25,"116,930.61",0.24
American Century All,ADCIX,0,0,0,0,0,0,0,0.53
American Century Dis,BEQGX,24.74,7.46,13.85,33.56,13.5,0.26,"86,022.54",0.34
American Century Equ,BIGRX,14.47,2.71,10.64,28.63,8.8,1,"69,195.20",0.42
American Century Inc,ANTDX,14.23,2.59,9.93,30.15,8.25,2.13,"78,280.04",0.51
American Century NT ,ACLEX,24.14,6.92,13.65,33.23,13.35,0.19,"87,045.07",0.2
American Century NT ,AFDAX,14.53,2.7,10.6,28.57,8.83,1.91,"70,542.39",0.15
American Century Sus,MCGFX,16.63,2.81,10.61,30.23,9.84,0,"149,404.00",0.44
AMG Managers Montag ,YAFFX,22.13,4.22,11.43,28.42,12.2,0,"136,499.09",0.28
AMG Yacktman Focused,YACKX,12.21,1.27,7.09,20.41,5.93,1.36,"29,782.09",0.24
AMG Yacktman I,ARTTX,12.26,1.33,7.41,21.79,6.85,1.92,"36,984.49",0.26
Artisan Thematic Inv,AVEDX,25.79,3.79,9.16,28.54,13.95,0.27,"133,857.54",0.23
Ave Maria Rising Div,MASPX,14.32,2.44,9.37,27.95,8.99,1.44,"38,643.72",0.23
BlackRock Advantage ,MDIVX,0,0,0,0,0,1.76,0,0.41
BMO Dividend Income ,DGAGX,10.87,1.81,7.99,28.43,9.14,2.85,"54,530.74",0.18
BNY Mellon Appreciat,DRTHX,19.41,3.9,12.32,32.67,10.88,0.88,"203,913.55",0.47
BNY Mellon Sustainab,DPUIX,15.78,2.87,10.07,29.58,10.77,1.22,"125,603.30",0.19
BNY Mellon US Equity,BVALX,20.77,4.26,13.45,35.2,10.33,0.59,"40,029.42",0.29
Brown Advisory Beute,BIAFX,11.44,2.86,7.93,34.73,7.06,0.96,"31,746.71",0.15
Brown Advisory Flexi,BAFWX,16.79,2.73,11.21,30.52,12.11,0.48,"115,003.80",0.34
Brown Advisory Susta,CSIEX,27.95,5.45,12.53,29.25,11.65,0,"71,632.61",0.44
Calvert Equity A,CISIX,24.17,3.49,10.81,29.14,11.27,0.03,"78,556.40",0.81
Calvert US Large Cap,CFJIX,15.78,2.64,9.31,27.2,9.55,1.23,"78,257.10",0.38
Calvert US Large Cap,HRCPX,10.71,1.5,5.6,21.3,7.92,1.9,"41,170.26",0.3
Carillon ClariVest C,HRCVX,18.34,3.57,11.73,30.72,12.06,0.29,"170,031.25",0.67
Carillon Eagle Growt,SHAPX,16.3,3.01,9.28,31.27,8.06,2.03,"123,623.94",0.28
ClearBridge Apprecia,SAIFX,16.99,2.73,9.34,27.63,9.32,1.18,"182,013.08",0.35
ClearBridge Large Ca,COHOX,13.95,2,7.14,25.52,8.99,2.02,"87,315.78",0.42
Coho Relative Value ,GSFTX,13.28,2.59,7.77,30.2,7.75,1.85,"53,910.50",0.2
Columbia Dividend In,NSEPX,14.37,2.54,8.83,27.26,8.4,2.11,"102,147.55",0.32
Columbia Select Larg,UMLGX,15.02,2.18,9.51,24.97,10.45,1.09,"109,524.92",0.21
Columbia Select Larg,CMLIX,24.78,6.21,11.5,25.26,15.02,0,"79,039.92",0.2
Congress Large Cap G,FICGX,23.62,5.65,12.26,33.6,11.64,0.48,"145,160.23",0.49
Delaware Growth Equi,DUGAX,17.22,4.08,11.68,31.63,12,0.19,"70,955.56",0.18
Delaware US Growth A,DURPX,25.5,4.4,9.28,23.05,14.23,0,"106,243.05",0.32
DFA US Hi Relatv Pro,DUSLX,16.12,5.53,12.44,42.24,9.16,1.59,"114,744.70",0.2
DFA US Large Cap Gro,DHLAX,17.03,7.79,12.93,45.03,10.02,1.68,"109,708.91",0.33
Diamond Hill Large C,DODGX,12.66,1.41,8.2,22.22,9.49,1.06,"81,528.92",0.36
Dodge & Cox Stock,DSEFX,10.04,1.06,4.44,14.47,9.52,2.22,"50,310.34",2.23
Domini Impact Equity,ESEIX,19.82,3.87,9.24,27.44,9.49,0.47,"121,062.21",0.34
Eaton Vance Atlanta ,EGFIX,19.61,1.88,9.17,24.36,9.98,0,"31,381.73",0.37
Edgewood Growth Inst,FDGIX,34.35,7.89,11.57,27.2,14.48,0,"131,568.36",0.6
Fidelity Advisor® Di,FXAIX,10.14,1.3,5.19,17.5,8.34,1.92,"51,625.56",0.21
Fidelity® 500 Index,FXAIX,16.14,2.42,9.49,27.16,9.62,2.25,"111,517.51",1.52
Fidelity® 500 Index,FBCVX,16.14,2.42,9.49,27.16,9.62,2.25,"111,517.51",1.52
Fidelity® Blue Chip ,FDEQX,9.26,1.14,6.09,17.81,7.9,1.91,"38,313.78",0.24
Fidelity® Discipline,FDRR,22.47,4.2,12.36,30.96,12.21,0.56,"96,950.78",0.59
Fidelity® Dividend E,FDGFX,15.66,1.83,8.68,29.27,7.5,3.82,"99,036.73",0.44
Fidelity® Dividend G,FTQGX,10.08,1.3,5.18,17.35,8.35,1.91,"52,414.67",0.36
Fidelity® Focused St,FDFFX,25.81,4.66,11.16,30.53,13.27,0.08,"156,469.42",0.39
Fidelity® Independen,FDLO,25.35,4.23,11.9,30.87,12.99,0.52,"109,676.61",0.54
Fidelity® Low Volati,FMAGX,21.07,3.15,10.12,29.24,8.38,1.76,"97,713.16",0.53
Fidelity® Magellan®,FSUVX,25.35,4.23,11.9,30.86,13,0.43,"109,714.99",0.15
Fidelity® SAI US Low,FUMIX,17.2,2.63,9.48,27.92,8.26,1.71,"90,350.06",0.21
Fidelity® SAI US Mom,FUQIX,21.12,3.32,9.54,27.62,10.06,1.61,"78,549.57",0.21
