,0
 MXXVX ,0.10476721146768653
 VLCGX ,0.06513294729549224
 MIGFX ,0.09390080171711945
 UMLGX ,0.02515737350290914
 MGK ,0.13277520545269095
 VIGRX ,0.13136987940769673
 CSIEX ,0.06097582705867732
 WLGAX ,0.07565812516721926
 POGAX ,0.1079229018609158
 BIAFX ,0.12255018681376506
 MEGBX ,0.11353655556590514
 TGCEX ,0.06286619078793043
 PNOPX ,0.08303729802614424
 VHIAX ,0.1171523404696233
 PINDX ,0.036428247723736984
 TWGTX ,0.04567053037379587
 AKRIX ,0.16179961821379418
 DGAGX ,0.0005060061584041264
 GTLLX ,0.1119029280251802
 GABGX ,0.08730479130944646
 EGFIX ,0.14391895540039235
 WVALX ,0.07050152874609017
 PKW ,0.12793070245348082
 DRTHX ,0.04497726418354375
 VFTNX ,0.12641127397479357
 PIGFX ,0.09841973850543329
 SPHQ ,0.12541632425880533
 AFDAX ,0.11135724798837288
 NICSX ,0.054775434732007966
 NVLIX ,0.04572769113397013
 VWUSX ,0.10083963464557777
 MLAAX ,0.04137974399241062
 PARWX ,0.06977299827670858
 HACAX ,0.08674179272526228
 WPVLX ,0.06959685868199283
 CSLBX ,0.03269255509534119
 JHCPX ,0.045365914888837455
 SELCX ,0.06989824485574636
 AMAGX ,0.07662287527037615
 USGLX ,0.06857381192572198
 SPFZX ,0.08509449569978722
 CISIX ,0.10313439004424674
 PJFAX ,0.09818109629741478
 TLIIX ,0.06024159930484796
 MCGFX ,-0.01826833905561165
 SUSIX ,0.01926811690685848
 GESSX ,0.045105008684666936
 SUSA ,0.10585288009148508
 PCLCX ,0.039693262543691654
 FDFFX ,0.06272078600802655
 FDEQX ,0.06653288269835533
 MSIGX ,0.05519721276078138
 MITTX ,0.06559987240119192
 NSBRX ,0.07909348756874945
 DHLAX ,0.07798302462578754
 GQEFX ,0.024773876590875377
 LEVIX ,0.0692603977465438
 VCSRX ,0.09510356855051794
 DSEFX ,0.062400025639769874
 HRCPX ,0.06110028257403277
 TISCX ,0.0821208996927727
 PIOTX ,0.08247544276312402
 FTQGX ,0.09012132295973374
 DSI ,0.10895057532219954
 HSTAX ,0.0987553366517957
 FMAGX ,0.04722239208818868
 PIODX ,-0.018684469924263203
 VDIGX ,0.08781929431391777
 GCEQX ,0.10779174061023555
 TILGX ,0.09118419363117347
 PRBLX ,0.06760257233765787
 NSEIX ,0.041352769085991614
 MGRSX ,0.027107088004883817
 SENCX ,0.04469991074547619
 ADCIX ,0.08445938650541263
 PARNX ,0.03781621953941405
 SHAPX ,0.07831130955103793
 OARDX ,0.04047979915910571
 CVFCX ,-0.015427712860350384
KLGAX ,0.0431262624568165
 SRVEX ,0.022828199430023455
 MFVSX ,0.01997058307230737
 JPGSX ,0.10988114570349428
 ACLEX ,0.02638767470958525
 CHTRX ,0.005899481559717534
 MASPX ,0.07148996191963186
 MUSEX ,0.08865592877404138
 FDGFX ,0.02727877610488605
 NSEPX ,0.0268556101691666
 SAIFX ,0.07811192190352978
 HIADX ,0.023227479292313724
 GMUEX ,0.020098033046580532
 FDGIX ,0.051938479766572065
 BOPIX ,0.05452737451310141
 BEQGX ,0.05478897460163812
 DPUIX ,0.05866344936259438
 HDGYX ,0.046317777986722763
 EGOIX ,0.0819469924229379
 GSFTX ,0.07511779770204496
 GMLGX ,0.09831018634085509
 VPCCX ,0.0871191024771556
 USAAX ,0.07486536889350903
 AVEDX ,0.05661340666451409
 REQEX ,0.07229200505494116
 TFFYX ,0.08215132947967319
 OFALX ,0.062184360570681774
 POSKX ,0.10446060518936551
 DUGAX ,0.05237574316023741
 FTCS ,0.11392817143382494
 SMVLX ,0.10553591780423055
 NBSRX ,0.06119551474782248
 GSRAX ,-0.010037408058791053
 BEGIX ,0.059598277921340204
 BRLVX ,0.08476189624261932
 DODGX ,0.07259557464087751
 PWB ,0.1357751091632926
 AUIAX ,0.04245715178482157
 FICGX ,0.08173406551229112
 FVDFX ,0.08932565613826604
 BIGRX ,0.06182558141081773
 FMIHX ,0.03403146209890218
 VCIGX ,0.05254853713298124
 GTLOX ,0.10149334446568803
 SSHFX ,0.04025689918719966
 HRCVX ,0.06103775026599889
 FBCVX ,0.07734453889335735
 NNGRX ,0.03351893908110637
 TORYX ,0.0659876790194065
 FDSAX ,0.05691951780213844
 YAFFX ,0.012424975305208141
 YACKX ,0.030128801860886956
SPX_index,0.11224216980094148
GSIN index,0.07058255401189517
