Name,Ticker,E,S,G,Average (Current)
AAMA Equity,AMFEX,,,,
AB Equity Income A,AUIAX,4.8,11.02,8.35,24.38
AIG Focused Dividend Strategy A,FDSAX,5.59,10.89,7.62,24.1
Akre Focus Instl,AKRIX,2.77,9.97,8.04,20.91
Amana Growth Investor,AMAGX,3.26,9.6,6.95,21.04
American Beacon Bridgeway Lg Cp Val R5,BRLVX,5.68,10.78,8.08,24.53
American Beacon The London Co Inc Eq R5,ABCIX,,,,
American Century Disciplined Growth I,ADCIX,2.29,10.93,7.69,22.8
American Century Equity Growth Inv,BEQGX,3.66,11.02,8,23.57
American Century Income and Growth Inv,BIGRX,4.38,10.73,8.02,23.32
American Century NT Disciplined Gr Inv,ANTDX,,,,
American Century NT Equity Growth G,ACLEX,3.65,11.02,8,23.57
American Century Sustainable Equity A,AFDAX,3.66,10.72,7.81,22.19
AMG Managers Montag & Caldwell Growth N,MCGFX,2.83,11.15,7.64,21.61
AMG Yacktman Focused N,YAFFX,4.11,9.62,8.41,22.87
AMG Yacktman I,YACKX,3.94,9.91,8.41,22.72
Artisan Thematic Investor,ARTTX,,,,
Ave Maria Rising Dividend,AVEDX,4.79,10.19,7.74,22.71
BlackRock Advantage US Total Mkt Instl,MASPX,NA,NA,NA,NA
BMO Dividend Income I,MDIVX,,,,
BNY Mellon Appreciation Investor,DGAGX,3.61,11.04,8.43,23.07
BNY Mellon Sustainable US Eq Fd Z,DRTHX,3.45,11.1,8.85,23.69
BNY Mellon US Equity I,DPUIX,4.13,10.37,7.32,21.82
Brown Advisory BeutelGoodmanLg-CpValInst,BVALX,,,,
Brown Advisory Flexible Equity Inv,BIAFX,2.94,10.44,8.23,22.25
Brown Advisory Sustainable Growth I,BAFWX,,,,
Calvert Equity A,CSIEX,3.31,10.13,7.46,20.9
Calvert US Large Cap Core Rspnb Idx I,CISIX,3.61,10.95,7.91,23.35
Calvert US Large Cap Value Rspnb Idx I,CFJIX,,,,
Carillon ClariVest Capital Apprec A,HRCPX,2.54,11.49,7.86,22.04
Carillon Eagle Growth & Income A,HRCVX,5.34,10.92,7.72,23.98
ClearBridge Appreciation A,SHAPX,3.98,10.99,8.28,23.25
ClearBridge Large Cap Value I,SAIFX,4.39,10.37,8.17,23.51
Coho Relative Value Equity Advisor,COHOX,,,,
Columbia Dividend Income Inst,GSFTX,5.02,10.78,7.91,23.72
Columbia Select Large Cap Equity Inst,NSEPX,4.41,11.31,8.18,23.9
Columbia Select Large Cap Growth Inst,UMLGX,2.06,11.32,7.65,22.01
Congress Large Cap Growth Institutional,CMLIX,3.31,11.2,7.93,22.45
Delaware Growth Equity A,FICGX,2.31,11.73,7.35,23.25
Delaware US Growth A,DUGAX,2.29,10.14,7.66,20.09
DFA US Hi Relatv Profitability Instl,DURPX,,,,
DFA US Large Cap Growth Instl,DUSLX,,,,
Diamond Hill Large Cap A,DHLAX,4.1,11.04,9.27,24.41
Dodge & Cox Stock,DODGX,3.79,11.49,9.3,24.58
Domini Impact Equity Investor,DSEFX,2.85,10.35,8.01,22.37
Eaton Vance Atlanta Capital Sel Eq I,ESEIX,,,,
Edgewood Growth Instl,EGFIX,2.71,10.16,7.92,20.8
Fidelity Advisor® Dividend Growth I,FDGIX,4.13,10.94,8.75,23.89
Fidelity® 500 Index,FXAIX,,,,
Fidelity® 500 Index,FXAIX,,,,
Fidelity® Blue Chip Value,FBCVX,4.27,9.9,8.77,23.56
Fidelity® Disciplined Equity,FDEQX,3.17,11.59,7.9,22.93
Fidelity® Dividend ETF for Rising Rates,FDRR,,,,
Fidelity® Dividend Growth,FDGFX,4.11,11.06,8.74,23.99
Fidelity® Focused Stock,FTQGX,2.56,11.08,7.92,21.7
Fidelity® Independence,FDFFX,3.35,11,7.68,22.02
Fidelity® Low Volatility Factor ETF,FDLO,,,,
Fidelity® Magellan®,FMAGX,3.35,11,7.68,22.02
Fidelity® SAI US LowVolatility Idx,FSUVX,,,,
Fidelity® SAI US Momentum Index,FUMIX,,,,
Fidelity® SAI US Quality Index,FUQIX,,,,
Fidelity® Series Value Discovery,FNKLX,,,,
Fidelity® Value Discovery,FVDFX,4.04,10.58,8.2,23.17
First Trust Capital Strength ETF,FTCS,4.25,11.4,8.19,23.85
First Trust Rising Dividend Achiev ETF,RDVY,,,,
FlexShares Quality Dividend Defensv ETF,QDEF,,,,
FlexShares Quality Dividend ETF,QDF,,,,
FMI Large Cap Investor,FMIHX,4.47,9.9,7.71,22.08
Franklin LibertyQ US Equity ETF,FLQL,,,,
Frontier MFG Global Equity Institutional,FMGEX,,,,
Frontier MFG Global Plus Institutional,FMGPX,,,,
Gabelli Growth AAA,GABGX,2.81,11.29,8.23,22.33
GE RSP US Equity,GESSX,4.09,11.04,8.21,23.46
Glenmede Quant US Large Cap Core Eq,GTLOX,3.88,10.87,7.78,22.52
Glenmede Quant US Large Cap Gr Eq,GTLLX,2.44,10.35,7.22,20.01
Global X S&P 500® Catholic Values ETF,CATH,,,,
GMO Quality IV,GQEFX,2.79,12.15,8.55,23.56
GMO US Equity III,GMUEX,3.6,9.94,7.33,22.64
Goldman Sachs ActiveBeta® US LgCp Eq ETF,GSLC,,,,
Goldman Sachs Rising Dividend Gr A,GSRAX,3.81,8.37,6.39,23.71
Gotham Index Plus Institutional,GINDX,,,,
Green Century Equity Individual Investor,GCEQX,3.1,10.43,7.58,21.3
GuideMark® Large Cap Core Service,GMLGX,4.16,10.98,7.86,23.34
Harbor Capital Appreciation Instl,HACAX,2.37,11.44,8.53,22.49
Hartford Dividend and Growth HLS IA,HIADX,4.67,11.27,8.04,23.98
Hartford Dividend and Growth Y,HDGYX,4.66,11.28,8.04,23.98
Hartford Multifactor US Equity ETF,ROUS,,,,
Hartford Stock HLS IA,HSTAX,4.25,11.45,7.2,23.16
HCM Dividend Sector Plus R,HCMZX,,,,
Independent Franchise Partners US Equity,IFPUX,,,,
Invesco BuyBack Achievers ETF,PKW,2.98,11.44,8.55,23.93
Invesco Charter A,CHTRX,3.64,10.76,7.91,22.83
Invesco Dynamic Large Cap Growth ETF,PWB,3.3,10.72,7.71,21.74
Invesco Oppenheimer Main Street A,MSIGX,3.74,10.56,7.92,22.75
Invesco Oppenheimer Rising Dividends A,OARDX,4.24,10.19,7.62,22.05
Invesco S&P 500® High Div Low Vol ETF,SPHD,,,,
Invesco S&P 500® Low Volatility ETF,SPLV,,,,
Invesco S&P 500® Quality ETF,SPHQ,3.83,11.28,8.42,23.54
iShares Edge MSCI Min Vol USA ETF,USMV,,,,
iShares Edge MSCI Multifactor USA ETF,LRGF,,,,
iShares Edge MSCI USA Momentum Fctr ETF,MTUM,,,,
iShares Edge MSCI USA Quality Factor ETF,QUAL,,,,
iShares Edge MSCI USA Value Factor ETF,VLUE,,,,
iShares ESG MSCI USA ETF,ESGU,,,,
iShares MSCI KLD 400 Social ETF,DSI,3.76,10.41,7.46,21.84
iShares MSCI USA ESG Select ETF,SUSA,3.99,9.82,7.22,21.03
Ivy Large Cap Growth A,WLGAX,2.51,11.68,7.82,22.01
Janus Henderson Growth And Income D,JNGIX,3.13,10.51,7.41,21.09
JHancock US Global Leaders Growth A,USGLX,2.83,11.47,7.54,21.84
JHFunds2 Capital Appreciation NAV,JHCPX,2.28,11.62,8.58,22.74
JPMorgan Growth Advantage A,VHIAX,2.65,10.45,7.59,22.46
JPMorgan Intrepid Growth I,JPGSX,2.64,11.54,7.66,22.64
Lazard US Equity Concentrated Instl,LEVIX,5.4,9.92,7.5,22.82
MainStay MacKay Growth A,KLGAX,2.56,11.65,7.95,22.4
MainStay Winslow Large Cap Growth A,MLAAX,2.32,11.52,8,21.85
MassMutual Select Equity Opports R5,MFVSX,4.41,11.69,7.58,23.68
MassMutual Select Growth Opps R5,MGRSX,2.17,11.25,8.24,22.11
Matthew 25,MXXVX,2.01,10.75,8.59,23.61
MFS Blended Research Core Equity I,MUSEX,4.09,11.84,8.26,24.1
MFS Growth B,MEGBX,2.25,11.62,8,21.87
MFS Massachusetts Inv Gr Stk A,MIGFX,3.46,10.85,7.99,22.3
MFS Massachusetts Investors Tr A,MITTX,3.49,11.02,7.99,22.89
