Name,Ticker,"% 
Total Return
10 Year","%
Dividend
Yield TTM","Morningstar
Risk","% Turnover
Ratio","% SEC 
Dividend
Yield","Morningstar 
Rating For 
Funds","Stock Industry/
Fund Category","Standard 
Deviation
3 Year"
AAMA Equity,AMFEX,,0.87,,20,,,Large Blend,
AB Equity Income A,AUIAX,9.28,2.91,Below Average,43,2.18,4,Large Value,16.13
AIG Focused Dividend Strategy A,FDSAX,9.39,3.95,Average,37,3.2,3,Large Value,19.02
Akre Focus Instl,AKRIX,16.95,0,Low,3,,5,Large Growth,14.2
Amana Growth Investor,AMAGX,12.47,0.37,Low,0,0.4,4,Large Growth,15.04
American Beacon Bridgeway Lg Cp Val R5,BRLVX,8.51,2.47,Above Average,44,,3,Large Value,21.02
American Beacon The London Co Inc Eq R5,ABCIX,,2.25,Below Average,23,2.02,4,Large Value,15.34
American Century Disciplined Growth I,ADCIX,13.88,0.26,Below Average,105,0,4,Large Growth,16.54
American Century Equity Growth Inv,BEQGX,11.31,1,Average,80,1.13,3,Large Blend,16.67
American Century Income and Growth Inv,BIGRX,10.3,2.13,Below Average,72,2.05,4,Large Value,16.59
American Century NT Disciplined Gr Inv,ANTDX,,0.19,Below Average,115,0,3,Large Growth,16.54
American Century NT Equity Growth G,ACLEX,11.25,1.91,Average,84,0,3,Large Blend,16.7
American Century Sustainable Equity A,AFDAX,11.99,0,Average,33,0,4,Large Blend,16.97
AMG Managers Montag & Caldwell Growth N,MCGFX,11.33,0,Low,20,0,3,Large Growth,15.69
AMG Yacktman Focused N,YAFFX,9.18,1.36,Low,31,,5,Large Value,13.85
AMG Yacktman I,YACKX,8.9,1.92,Low,35,2.9,5,Large Value,13.54
Artisan Thematic Investor,ARTTX,,0.27,Low,368.38,,5,Large Growth,14.33
Ave Maria Rising Dividend,AVEDX,9.55,1.44,Above Average,30,,2,Large Blend,18.72
BlackRock Advantage US Total Mkt Instl,MASPX,10.48,1.76,High,142,0,2,Large Blend,17.81
BMO Dividend Income I,MDIVX,,2.85,Above Average,43,3.37,3,Large Value,18.86
BNY Mellon Appreciation Investor,DGAGX,11.02,0.88,Below Average,4.73,0,4,Large Blend,15.34
BNY Mellon Sustainable US Eq Fd Z,DRTHX,11.38,1.22,Below Average,39.66,1.11,3,Large Blend,15.57
BNY Mellon US Equity I,DPUIX,10.83,0.59,Below Average,14.11,0,2,Large Growth,16.81
Brown Advisory BeutelGoodmanLg-CpValInst,BVALX,,0.96,,45,,,Large Value,
Brown Advisory Flexible Equity Inv,BIAFX,12.38,0.48,Average,14,,3,Large Growth,17.96
Brown Advisory Sustainable Growth I,BAFWX,,0,Below Average,21,,5,Large Growth,16.55
Calvert Equity A,CSIEX,13.18,0.03,Low,18,0,4,Large Growth,14.28
Calvert US Large Cap Core Rspnb Idx I,CISIX,12.21,1.23,Average,17,0,5,Large Blend,16.91
Calvert US Large Cap Value Rspnb Idx I,CFJIX,,1.9,Average,67,0,3,Large Value,18.48
Carillon ClariVest Capital Apprec A,HRCPX,13.18,0.29,Average,49,,3,Large Growth,17.51
Carillon Eagle Growth & Income A,HRCVX,9.53,2.03,Below Average,25,,5,Large Value,14.56
ClearBridge Appreciation A,SHAPX,10.98,1.18,Below Average,10,0,4,Large Blend,15.41
ClearBridge Large Cap Value I,SAIFX,9.38,2.02,Below Average,14,0,4,Large Value,16.91
Coho Relative Value Equity Advisor,COHOX,,1.85,Low,20,,3,Large Blend,14.85
Columbia Dividend Income Inst,GSFTX,11.03,2.11,Low,13,2.06,5,Large Value,14.7
Columbia Select Large Cap Equity Inst,NSEPX,12.01,1.09,Average,62,,4,Large Blend,16.92
Columbia Select Large Cap Growth Inst,UMLGX,14.41,0,High,27,,3,Large Growth,21.14
Congress Large Cap Growth Institutional,CMLIX,14.25,0.48,Below Average,20,,4,Large Growth,15.97
Delaware Growth Equity A,FICGX,13.19,0.19,Average,48,,3,Large Growth,17.63
Delaware US Growth A,DUGAX,13.55,0,Below Average,35,-0.3,3,Large Growth,16.87
DFA US Hi Relatv Profitability Instl,DURPX,,1.59,,4,,,Large Blend,
DFA US Large Cap Growth Instl,DUSLX,,1.68,Low,11,,3,Large Growth,16.32
Diamond Hill Large Cap A,DHLAX,9.52,1.06,Above Average,22,,4,Large Value,19.08
Dodge & Cox Stock,DODGX,9.94,2.22,Above Average,17,1.76,3,Large Value,20.35
Domini Impact Equity Investor,DSEFX,10.2,0.47,Below Average,95,0.71,3,Large Blend,16.02
Eaton Vance Atlanta Capital Sel Eq I,ESEIX,,0,Low,18,,3,Large Growth,14.88
Edgewood Growth Instl,EGFIX,17.7,0,Average,25,0,5,Large Growth,16.41
Fidelity Advisor® Dividend Growth I,FDGIX,8.38,1.92,Above Average,75,,3,Large Value,19.55
Fidelity® 500 Index,FXAIX,,2.25,Average,4,,4,Large Blend,16.79
